,rank,1_day_rolling_avg_floor_price,rw623-hyaaa-aaaah-qctcq-cai,ugdkf-taaaa-aaaak-acoia-cai,4ggk4-mqaaa-aaaae-qad6q-cai,skjpp-haaaa-aaaae-qac7q-cai,pk6rk-6aaaa-aaaae-qaazq-cai,dhiaa-ryaaa-aaaae-qabva-cai,bxdf4-baaaa-aaaah-qaruq-cai,3mttv-dqaaa-aaaah-qcn6q-cai,oeee4-qaaaa-aaaak-qaaeq-cai,times_above_floor
73793,2038,350.0,0,0,0,1,0,0,0,0,0,1.0
73794,2038,2200.0,0,0,0,1,0,0,0,0,0,1.0909090909090908
73795,2038,350.0,0,0,0,1,0,0,0,0,0,1.0
73796,2039,1000.0,0,0,0,1,0,0,0,0,0,1.1
73797,2039,1000.0,0,0,0,1,0,0,0,0,0,1.1
73798,2040,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
73799,2040,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
73800,2041,1500.0,0,0,0,1,0,0,0,0,0,1.666
73801,2041,1469.42069,0,0,0,1,0,0,0,0,0,1.429134634003282
73802,2041,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
73803,2041,1500.0,0,0,0,1,0,0,0,0,0,1.666
73804,2041,1469.42069,0,0,0,1,0,0,0,0,0,1.429134634003282
73805,2041,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
73806,2042,350.0,0,0,0,1,0,0,0,0,0,1.0
73807,2042,350.0,0,0,0,1,0,0,0,0,0,1.0
73808,2043,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
73809,2043,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
73810,2044,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
73811,2044,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
73812,2045,640.0,0,0,0,1,0,0,0,0,0,1.5625
73813,2045,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
73814,2045,640.0,0,0,0,1,0,0,0,0,0,1.5625
73815,2045,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
73816,2047,399.0,0,0,0,1,0,0,0,0,0,1.0
73817,2047,1469.42069,0,0,0,1,0,0,0,0,0,1.5992697094798631
73818,2047,229.999999,0,0,0,1,0,0,0,0,0,2.1739130529300565
73819,2047,399.0,0,0,0,1,0,0,0,0,0,1.0
73820,2047,1469.42069,0,0,0,1,0,0,0,0,0,1.5992697094798631
73821,2047,229.999999,0,0,0,1,0,0,0,0,0,2.1739130529300565
73822,2048,1469.42069,0,0,0,1,0,0,0,0,0,3.402701509531624
73823,2048,229.999999,0,0,0,1,0,0,0,0,0,2.1739130529300565
73824,2048,1469.42069,0,0,0,1,0,0,0,0,0,3.402701509531624
73825,2048,229.999999,0,0,0,1,0,0,0,0,0,2.1739130529300565
73826,2049,720.0,0,0,0,1,0,0,0,0,0,1.5277777777777777
73827,2049,1469.42069,0,0,0,1,0,0,0,0,0,1.5570762107616711
73828,2049,229.999999,0,0,0,1,0,0,0,0,0,2.1739130529300565
73829,2049,720.0,0,0,0,1,0,0,0,0,0,1.5277777777777777
73830,2049,1469.42069,0,0,0,1,0,0,0,0,0,1.5570762107616711
73831,2049,229.999999,0,0,0,1,0,0,0,0,0,2.1739130529300565
73832,2050,1150.0,0,0,0,1,0,0,0,0,0,3.391304347826087
73833,2050,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
73834,2050,1150.0,0,0,0,1,0,0,0,0,0,3.391304347826087
73835,2050,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
73836,2051,875.0,0,0,0,1,0,0,0,0,0,1.3714285714285714
73837,2051,1469.42069,0,0,0,1,0,0,0,0,0,2.0416209057189745
73838,2051,350.0,0,0,0,1,0,0,0,0,0,1.0
73839,2051,875.0,0,0,0,1,0,0,0,0,0,1.3714285714285714
73840,2051,1469.42069,0,0,0,1,0,0,0,0,0,2.0416209057189745
73841,2051,350.0,0,0,0,1,0,0,0,0,0,1.0
73842,2052,1495.0,0,0,0,1,0,0,0,0,0,1.3377926421404682
73843,2052,1495.0,0,0,0,1,0,0,0,0,0,1.3377926421404682
73844,2053,450.0,0,0,0,1,0,0,0,0,0,1.3333333333333333
73845,2053,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
73846,2053,450.0,0,0,0,1,0,0,0,0,0,1.3333333333333333
73847,2053,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
73848,2054,229.999999,0,0,0,1,0,0,0,0,0,10.865217438544423
73849,2054,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
73850,2054,229.999999,0,0,0,1,0,0,0,0,0,10.865217438544423
73851,2054,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
73852,2055,350.0,0,0,0,1,0,0,0,0,0,1.0
73853,2055,350.0,0,0,0,1,0,0,0,0,0,1.0
73854,2056,1000.0,0,0,0,1,0,0,0,0,0,2.0
73855,2056,229.999999,0,0,0,1,0,0,0,0,0,10.217391348771267
73856,2056,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
73857,2056,1000.0,0,0,0,1,0,0,0,0,0,2.0
73858,2056,229.999999,0,0,0,1,0,0,0,0,0,10.217391348771267
73859,2056,350.0,0,0,0,1,0,0,0,0,0,1.4285714285714286
73860,2057,1080.0,0,0,0,1,0,0,0,0,0,1.3888888888888888
73861,2057,1080.0,0,0,0,1,0,0,0,0,0,1.3888888888888888
73862,2058,600.0,0,0,0,1,0,0,0,0,0,1.3166666666666667
73863,2058,2200.0,0,0,0,1,0,0,0,0,0,1.1136363636363635
73864,2058,229.999999,0,0,0,1,0,0,0,0,0,2.1739130529300565
73865,2058,600.0,0,0,0,1,0,0,0,0,0,1.3166666666666667
